simulationId,setId,timeToCreate,actionId,typeOfAction,recordType,recordId,associationType,associationTypeId,associatedRecordId,payload,details
{{simulationId}},3,105,200,create_company,company,company_{{simulationId}}_3,,,,"{""properties"":{""name"":"""",""domain"":"""",""phone"":"""",""city"":"""",""state"":"""",""zip"":"""",""country"":"""",""website"":"""",""industry"":"""",""lifecyclestage"":""""}}",Create company (Company Create Payload)
{{simulationId}},3,105,100,create_contact,contact,contact_{{simulationId}}_3,,,,"{""properties"":{""email"":"""",""firstname"":"""",""lastname"":"""",""phone"":"""",""company"":"""",""website"":"""",""lifecyclestage"":"""",""jobtitle"":""""}}",Create contact (Contact Create Payload)
{{simulationId}},2,110,300,update_deal,deal,deal_{{simulationId}}_2,,,,"{""properties"":{""dealstage"":""qualifiedtobuy""}}",Deal stage → qualifiedtobuy
{{simulationId}},2,115,500,create_note,note,note_{{simulationId}}_2_1,note_to_contact,{{assocId.note_contact}},contact_{{simulationId}}_2,"{""properties"":{""hs_note_body"":""Qualification call summarizing current process, key pain points, and success criteria."",""hs_timestamp"":""{{run_at_iso}}""}}","Qualification call summarizing current process, key pain points, and success criteria."
{{simulationId}},3,125,300,create_deal,deal,deal_{{simulationId}}_3,deal_to_contact|deal_to_company,{{assocId.deal_contact}}|{{assocId.deal_company}},contact_{{simulationId}}_3|company_{{simulationId}}_3,"{""properties"":{""dealname"":"""",""pipeline"":"""",""dealstage"":""appointmentscheduled"",""amount"":"""",""closedate"":"""",""dealtype"":""""}}","Create deal (Deal Create Payload) + associate to contact,company"
{{simulationId}},1,145,400,create_ticket,ticket,ticket_{{simulationId}}_1,ticket_to_contact|ticket_to_company,{{assocId.ticket_contact}}|{{assocId.ticket_company}},contact_{{simulationId}}_1|company_{{simulationId}}_1,"{""properties"":{""subject"":"""",""hs_pipeline"":"""",""hs_pipeline_stage"":""1"",""hs_ticket_priority"":"""",""content"":""""}}","Create ticket (Ticket Create Payload) + associate to contact,company"
{{simulationId}},2,150,300,update_deal,deal,deal_{{simulationId}}_2,,,,"{""properties"":{""dealstage"":""presentationscheduled""}}",Deal stage → presentationscheduled
{{simulationId}},2,155,500,create_note,note,note_{{simulationId}}_2_2,note_to_contact,{{assocId.note_contact}},contact_{{simulationId}}_2,"{""properties"":{""hs_note_body"":""Presentation recap noting strong interest, open questions, and a request for a proposal."",""hs_timestamp"":""{{run_at_iso}}""}}","Presentation recap noting strong interest, open questions, and a request for a proposal."
{{simulationId}},4,155,200,create_company,company,company_{{simulationId}}_4,,,,"{""properties"":{""name"":"""",""domain"":"""",""phone"":"""",""city"":"""",""state"":"""",""zip"":"""",""country"":"""",""website"":"""",""industry"":"""",""lifecyclestage"":""""}}",Create company (Company Create Payload)
{{simulationId}},4,155,100,create_contact,contact,contact_{{simulationId}}_4,,,,"{""properties"":{""email"":"""",""firstname"":"""",""lastname"":"""",""phone"":"""",""company"":"""",""website"":"""",""lifecyclestage"":"""",""jobtitle"":""""}}",Create contact (Contact Create Payload)
{{simulationId}},1,160,400,update_ticket,ticket,ticket_{{simulationId}}_1,,,,"{""properties"":{""hs_pipeline_stage"":""2""}}",Ticket stage → in progress
{{simulationId}},3,160,300,update_deal,deal,deal_{{simulationId}}_3,,,,"{""properties"":{""dealstage"":""qualifiedtobuy""}}",Deal stage → qualifiedtobuy
{{simulationId}},3,165,500,create_note,note,note_{{simulationId}}_3_1,note_to_contact,{{assocId.note_contact}},contact_{{simulationId}}_3,"{""properties"":{""hs_note_body"":""Qualification call summarizing current process, key pain points, and success criteria."",""hs_timestamp"":""{{run_at_iso}}""}}","Qualification call summarizing current process, key pain points, and success criteria."
{{simulationId}},4,175,300,create_deal,deal,deal_{{simulationId}}_4,deal_to_contact|deal_to_company,{{assocId.deal_contact}}|{{assocId.deal_company}},contact_{{simulationId}}_4|company_{{simulationId}}_4,"{""properties"":{""dealname"":"""",""pipeline"":"""",""dealstage"":""appointmentscheduled"",""amount"":"""",""closedate"":"""",""dealtype"":""""}}","Create deal (Deal Create Payload) + associate to contact,company"
{{simulationId}},2,195,400,create_ticket,ticket,ticket_{{simulationId}}_2,ticket_to_contact|ticket_to_company,{{assocId.ticket_contact}}|{{assocId.ticket_company}},contact_{{simulationId}}_2|company_{{simulationId}}_2,"{""properties"":{""subject"":"""",""hs_pipeline"":"""",""hs_pipeline_stage"":""1"",""hs_ticket_priority"":"""",""content"":""""}}","Create ticket (Ticket Create Payload) + associate to contact,company"
{{simulationId}},1,200,300,update_deal,deal,deal_{{simulationId}}_1,,,,"{""properties"":{""dealstage"":""decisionmakerboughtin""}}",Deal stage → decisionmakerboughtin
{{simulationId}},3,200,300,update_deal,deal,deal_{{simulationId}}_3,,,,"{""properties"":{""dealstage"":""presentationscheduled""}}",Deal stage → presentationscheduled
{{simulationId}},3,205,500,create_note,note,note_{{simulationId}}_3_2,note_to_contact,{{assocId.note_contact}},contact_{{simulationId}}_3,"{""properties"":{""hs_note_body"":""Presentation recap noting strong interest, open questions, and a request for a proposal."",""hs_timestamp"":""{{run_at_iso}}""}}","Presentation recap noting strong interest, open questions, and a request for a proposal."
{{simulationId}},5,205,200,create_company,company,company_{{simulationId}}_5,,,,"{""properties"":{""name"":"""",""domain"":"""",""phone"":"""",""city"":"""",""state"":"""",""zip"":"""",""country"":"""",""website"":"""",""industry"":"""",""lifecyclestage"":""""}}",Create company (Company Create Payload)
{{simulationId}},5,205,100,create_contact,contact,contact_{{simulationId}}_5,,,,"{""properties"":{""email"":"""",""firstname"":"""",""lastname"":"""",""phone"":"""",""company"":"""",""website"":"""",""lifecyclestage"":"""",""jobtitle"":""""}}",Create contact (Contact Create Payload)
{{simulationId}},2,210,400,update_ticket,ticket,ticket_{{simulationId}}_2,,,,"{""properties"":{""hs_pipeline_stage"":""2""}}",Ticket stage → in progress
{{simulationId}},4,210,300,update_deal,deal,deal_{{simulationId}}_4,,,,"{""properties"":{""dealstage"":""qualifiedtobuy""}}",Deal stage → qualifiedtobuy
{{simulationId}},4,215,500,create_note,note,note_{{simulationId}}_4_1,note_to_contact,{{assocId.note_contact}},contact_{{simulationId}}_4,"{""properties"":{""hs_note_body"":""Qualification call summarizing current process, key pain points, and success criteria."",""hs_timestamp"":""{{run_at_iso}}""}}","Qualification call summarizing current process, key pain points, and success criteria."
{{simulationId}},5,225,300,create_deal,deal,deal_{{simulationId}}_5,deal_to_contact|deal_to_company,{{assocId.deal_contact}}|{{assocId.deal_company}},contact_{{simulationId}}_5|company_{{simulationId}}_5,"{""properties"":{""dealname"":"""",""pipeline"":"""",""dealstage"":""appointmentscheduled"",""amount"":"""",""closedate"":"""",""dealtype"":""""}}","Create deal (Deal Create Payload) + associate to contact,company"
{{simulationId}},3,245,400,create_ticket,ticket,ticket_{{simulationId}}_3,ticket_to_contact|ticket_to_company,{{assocId.ticket_contact}}|{{assocId.ticket_company}},contact_{{simulationId}}_3|company_{{simulationId}}_3,"{""properties"":{""subject"":"""",""hs_pipeline"":"""",""hs_pipeline_stage"":""1"",""hs_ticket_priority"":"""",""content"":""""}}","Create ticket (Ticket Create Payload) + associate to contact,company"
{{simulationId}},2,250,300,update_deal,deal,deal_{{simulationId}}_2,,,,"{""properties"":{""dealstage"":""decisionmakerboughtin""}}",Deal stage → decisionmakerboughtin
{{simulationId}},4,250,300,update_deal,deal,deal_{{simulationId}}_4,,,,"{""properties"":{""dealstage"":""presentationscheduled""}}",Deal stage → presentationscheduled
{{simulationId}},4,255,500,create_note,note,note_{{simulationId}}_4_2,note_to_contact,{{assocId.note_contact}},contact_{{simulationId}}_4,"{""properties"":{""hs_note_body"":""Presentation recap noting strong interest, open questions, and a request for a proposal."",""hs_timestamp"":""{{run_at_iso}}""}}","Presentation recap noting strong interest, open questions, and a request for a proposal."
{{simulationId}},6,255,200,create_company,company,company_{{simulationId}}_6,,,,"{""properties"":{""name"":"""",""domain"":"""",""phone"":"""",""city"":"""",""state"":"""",""zip"":"""",""country"":"""",""website"":"""",""industry"":"""",""lifecyclestage"":""""}}",Create company (Company Create Payload)
{{simulationId}},6,255,100,create_contact,contact,contact_{{simulationId}}_6,,,,"{""properties"":{""email"":"""",""firstname"":"""",""lastname"":"""",""phone"":"""",""company"":"""",""website"":"""",""lifecyclestage"":"""",""jobtitle"":""""}}",Create contact (Contact Create Payload)
{{simulationId}},3,260,400,update_ticket,ticket,ticket_{{simulationId}}_3,,,,"{""properties"":{""hs_pipeline_stage"":""2""}}",Ticket stage → in progress
{{simulationId}},5,260,300,update_deal,deal,deal_{{simulationId}}_5,,,,"{""properties"":{""dealstage"":""qualifiedtobuy""}}",Deal stage → qualifiedtobuy
{{simulationId}},5,265,500,create_note,note,note_{{simulationId}}_5_1,note_to_contact,{{assocId.note_contact}},contact_{{simulationId}}_5,"{""properties"":{""hs_note_body"":""Qualification call summarizing current process, key pain points, and success criteria."",""hs_timestamp"":""{{run_at_iso}}""}}","Qualification call summarizing current process, key pain points, and success criteria."
{{simulationId}},6,275,300,create_deal,deal,deal_{{simulationId}}_6,deal_to_contact|deal_to_company,{{assocId.deal_contact}}|{{assocId.deal_company}},contact_{{simulationId}}_6|company_{{simulationId}}_6,"{""properties"":{""dealname"":"""",""pipeline"":"""",""dealstage"":""appointmentscheduled"",""amount"":"""",""closedate"":"""",""dealtype"":""""}}","Create deal (Deal Create Payload) + associate to contact,company"
{{simulationId}},4,295,400,create_ticket,ticket,ticket_{{simulationId}}_4,ticket_to_contact|ticket_to_company,{{assocId.ticket_contact}}|{{assocId.ticket_company}},contact_{{simulationId}}_4|company_{{simulationId}}_4,"{""properties"":{""subject"":"""",""hs_pipeline"":"""",""hs_pipeline_stage"":""1"",""hs_ticket_priority"":"""",""content"":""""}}","Create ticket (Ticket Create Payload) + associate to contact,company"
{{simulationId}},1,300,300,update_deal,deal,deal_{{simulationId}}_1,,,,"{""properties"":{""dealstage"":""contractsent""}}",Deal stage → contractsent
{{simulationId}},3,300,300,update_deal,deal,deal_{{simulationId}}_3,,,,"{""properties"":{""dealstage"":""decisionmakerboughtin""}}",Deal stage → decisionmakerboughtin
{{simulationId}},5,300,300,update_deal,deal,deal_{{simulationId}}_5,,,,"{""properties"":{""dealstage"":""presentationscheduled""}}",Deal stage → presentationscheduled
{{simulationId}},1,305,500,create_note,note,note_{{simulationId}}_1_3,note_to_contact,{{assocId.note_contact}},contact_{{simulationId}}_1,"{""properties"":{""hs_note_body"":""Negotiation discussion covering pricing, risks, and next steps to send the contract."",""hs_timestamp"":""{{run_at_iso}}""}}","Negotiation discussion covering pricing, risks, and next steps to send the contract."
{{simulationId}},5,305,500,create_note,note,note_{{simulationId}}_5_2,note_to_contact,{{assocId.note_contact}},contact_{{simulationId}}_5,"{""properties"":{""hs_note_body"":""Presentation recap noting strong interest, open questions, and a request for a proposal."",""hs_timestamp"":""{{run_at_iso}}""}}","Presentation recap noting strong interest, open questions, and a request for a proposal."
{{simulationId}},7,305,200,create_company,company,company_{{simulationId}}_7,,,,"{""properties"":{""name"":"""",""domain"":"""",""phone"":"""",""city"":"""",""state"":"""",""zip"":"""",""country"":"""",""website"":"""",""industry"":"""",""lifecyclestage"":""""}}",Create company (Company Create Payload)
{{simulationId}},7,305,100,create_contact,contact,contact_{{simulationId}}_7,,,,"{""properties"":{""email"":"""",""firstname"":"""",""lastname"":"""",""phone"":"""",""company"":"""",""website"":"""",""lifecyclestage"":"""",""jobtitle"":""""}}",Create contact (Contact Create Payload)
{{simulationId}},4,310,400,update_ticket,ticket,ticket_{{simulationId}}_4,,,,"{""properties"":{""hs_pipeline_stage"":""2""}}",Ticket stage → in progress
{{simulationId}},6,310,300,update_deal,deal,deal_{{simulationId}}_6,,,,"{""properties"":{""dealstage"":""qualifiedtobuy""}}",Deal stage → qualifiedtobuy
{{simulationId}},6,315,500,create_note,note,note_{{simulationId}}_6_1,note_to_contact,{{assocId.note_contact}},contact_{{simulationId}}_6,"{""properties"":{""hs_note_body"":""Qualification call summarizing current process, key pain points, and success criteria."",""hs_timestamp"":""{{run_at_iso}}""}}","Qualification call summarizing current process, key pain points, and success criteria."
{{simulationId}},7,325,300,create_deal,deal,deal_{{simulationId}}_7,deal_to_contact|deal_to_company,{{assocId.deal_contact}}|{{assocId.deal_company}},contact_{{simulationId}}_7|company_{{simulationId}}_7,"{""properties"":{""dealname"":"""",""pipeline"":"""",""dealstage"":""appointmentscheduled"",""amount"":"""",""closedate"":"""",""dealtype"":""""}}","Create deal (Deal Create Payload) + associate to contact,company"
{{simulationId}},5,345,400,create_ticket,ticket,ticket_{{simulationId}}_5,ticket_to_contact|ticket_to_company,{{assocId.ticket_contact}}|{{assocId.ticket_company}},contact_{{simulationId}}_5|company_{{simulationId}}_5,"{""properties"":{""subject"":"""",""hs_pipeline"":"""",""hs_pipeline_stage"":""1"",""hs_ticket_priority"":"""",""content"":""""}}","Create ticket (Ticket Create Payload) + associate to contact,company"
{{simulationId}},2,350,300,update_deal,deal,deal_{{simulationId}}_2,,,,"{""properties"":{""dealstage"":""contractsent""}}",Deal stage → contractsent
{{simulationId}},4,350,300,update_deal,deal,deal_{{simulationId}}_4,,,,"{""properties"":{""dealstage"":""decisionmakerboughtin""}}",Deal stage → decisionmakerboughtin
{{simulationId}},6,350,300,update_deal,deal,deal_{{simulationId}}_6,,,,"{""properties"":{""dealstage"":""presentationscheduled""}}",Deal stage → presentationscheduled
{{simulationId}},2,355,500,create_note,note,note_{{simulationId}}_2_3,note_to_contact,{{assocId.note_contact}},contact_{{simulationId}}_2,"{""properties"":{""hs_note_body"":""Negotiation discussion covering pricing, risks, and next steps to send the contract."",""hs_timestamp"":""{{run_at_iso}}""}}","Negotiation discussion covering pricing, risks, and next steps to send the contract."
{{simulationId}},6,355,500,create_note,note,note_{{simulationId}}_6_2,note_to_contact,{{assocId.note_contact}},contact_{{simulationId}}_6,"{""properties"":{""hs_note_body"":""Presentation recap noting strong interest, open questions, and a request for a proposal."",""hs_timestamp"":""{{run_at_iso}}""}}","Presentation recap noting strong interest, open questions, and a request for a proposal."
{{simulationId}},8,355,200,create_company,company,company_{{simulationId}}_8,,,,"{""properties"":{""name"":"""",""domain"":"""",""phone"":"""",""city"":"""",""state"":"""",""zip"":"""",""country"":"""",""website"":"""",""industry"":"""",""lifecyclestage"":""""}}",Create company (Company Create Payload)
{{simulationId}},8,355,100,create_contact,contact,contact_{{simulationId}}_8,,,,"{""properties"":{""email"":"""",""firstname"":"""",""lastname"":"""",""phone"":"""",""company"":"""",""website"":"""",""lifecyclestage"":"""",""jobtitle"":""""}}",Create contact (Contact Create Payload)
{{simulationId}},5,360,400,update_ticket,ticket,ticket_{{simulationId}}_5,,,,"{""properties"":{""hs_pipeline_stage"":""2""}}",Ticket stage → in progress
{{simulationId}},7,360,300,update_deal,deal,deal_{{simulationId}}_7,,,,"{""properties"":{""dealstage"":""qualifiedtobuy""}}",Deal stage → qualifiedtobuy
{{simulationId}},7,365,500,create_note,note,note_{{simulationId}}_7_1,note_to_contact,{{assocId.note_contact}},contact_{{simulationId}}_7,"{""properties"":{""hs_note_body"":""Qualification call summarizing current process, key pain points, and success criteria."",""hs_timestamp"":""{{run_at_iso}}""}}","Qualification call summarizing current process, key pain points, and success criteria."
{{simulationId}},8,375,300,create_deal,deal,deal_{{simulationId}}_8,deal_to_contact|deal_to_company,{{assocId.deal_contact}}|{{assocId.deal_company}},contact_{{simulationId}}_8|company_{{simulationId}}_8,"{""properties"":{""dealname"":"""",""pipeline"":"""",""dealstage"":""appointmentscheduled"",""amount"":"""",""closedate"":"""",""dealtype"":""""}}","Create deal (Deal Create Payload) + associate to contact,company"
{{simulationId}},6,395,400,create_ticket,ticket,ticket_{{simulationId}}_6,ticket_to_contact|ticket_to_company,{{assocId.ticket_contact}}|{{assocId.ticket_company}},contact_{{simulationId}}_6|company_{{simulationId}}_6,"{""properties"":{""subject"":"""",""hs_pipeline"":"""",""hs_pipeline_stage"":""1"",""hs_ticket_priority"":"""",""content"":""""}}","Create ticket (Ticket Create Payload) + associate to contact,company"
{{simulationId}},1,400,300,update_deal,deal,deal_{{simulationId}}_1,,,,"{""properties"":{""dealstage"":""closedwon"",""closedate"":""{{run_at_iso}}""}}",Close deal → closedwon (set closedate) [path=won]
{{simulationId}},1,400,300,update_deal,deal,deal_{{simulationId}}_1,,,,"{""properties"":{""dealstage"":""closedlost"",""closedate"":""{{run_at_iso}}""}}",Close deal → closedlost (set closedate) [path=lost]
{{simulationId}},3,400,300,update_deal,deal,deal_{{simulationId}}_3,,,,"{""properties"":{""dealstage"":""contractsent""}}",Deal stage → contractsent
{{simulationId}},5,400,300,update_deal,deal,deal_{{simulationId}}_5,,,,"{""properties"":{""dealstage"":""decisionmakerboughtin""}}",Deal stage → decisionmakerboughtin
{{simulationId}},7,400,300,update_deal,deal,deal_{{simulationId}}_7,,,,"{""properties"":{""dealstage"":""presentationscheduled""}}",Deal stage → presentationscheduled
{{simulationId}},3,405,500,create_note,note,note_{{simulationId}}_3_3,note_to_contact,{{assocId.note_contact}},contact_{{simulationId}}_3,"{""properties"":{""hs_note_body"":""Negotiation discussion covering pricing, risks, and next steps to send the contract."",""hs_timestamp"":""{{run_at_iso}}""}}","Negotiation discussion covering pricing, risks, and next steps to send the contract."
{{simulationId}},7,405,500,create_note,note,note_{{simulationId}}_7_2,note_to_contact,{{assocId.note_contact}},contact_{{simulationId}}_7,"{""properties"":{""hs_note_body"":""Presentation recap noting strong interest, open questions, and a request for a proposal."",""hs_timestamp"":""{{run_at_iso}}""}}","Presentation recap noting strong interest, open questions, and a request for a proposal."
{{simulationId}},9,405,200,create_company,company,company_{{simulationId}}_9,,,,"{""properties"":{""name"":"""",""domain"":"""",""phone"":"""",""city"":"""",""state"":"""",""zip"":"""",""country"":"""",""website"":"""",""industry"":"""",""lifecyclestage"":""""}}",Create company (Company Create Payload)
{{simulationId}},9,405,100,create_contact,contact,contact_{{simulationId}}_9,,,,"{""properties"":{""email"":"""",""firstname"":"""",""lastname"":"""",""phone"":"""",""company"":"""",""website"":"""",""lifecyclestage"":"""",""jobtitle"":""""}}",Create contact (Contact Create Payload)
{{simulationId}},6,410,400,update_ticket,ticket,ticket_{{simulationId}}_6,,,,"{""properties"":{""hs_pipeline_stage"":""2""}}",Ticket stage → in progress
{{simulationId}},8,410,300,update_deal,deal,deal_{{simulationId}}_8,,,,"{""properties"":{""dealstage"":""qualifiedtobuy""}}",Deal stage → qualifiedtobuy
{{simulationId}},8,415,500,create_note,note,note_{{simulationId}}_8_1,note_to_contact,{{assocId.note_contact}},contact_{{simulationId}}_8,"{""properties"":{""hs_note_body"":""Qualification call summarizing current process, key pain points, and success criteria."",""hs_timestamp"":""{{run_at_iso}}""}}","Qualification call summarizing current process, key pain points, and success criteria."
{{simulationId}},9,425,300,create_deal,deal,deal_{{simulationId}}_9,deal_to_contact|deal_to_company,{{assocId.deal_contact}}|{{assocId.deal_company}},contact_{{simulationId}}_9|company_{{simulationId}}_9,"{""properties"":{""dealname"":"""",""pipeline"":"""",""dealstage"":""appointmentscheduled"",""amount"":"""",""closedate"":"""",""dealtype"":""""}}","Create deal (Deal Create Payload) + associate to contact,company"
{{simulationId}},7,445,400,create_ticket,ticket,ticket_{{simulationId}}_7,ticket_to_contact|ticket_to_company,{{assocId.ticket_contact}}|{{assocId.ticket_company}},contact_{{simulationId}}_7|company_{{simulationId}}_7,"{""properties"":{""subject"":"""",""hs_pipeline"":"""",""hs_pipeline_stage"":""1"",""hs_ticket_priority"":"""",""content"":""""}}","Create ticket (Ticket Create Payload) + associate to contact,company"
{{simulationId}},2,450,300,update_deal,deal,deal_{{simulationId}}_2,,,,"{""properties"":{""dealstage"":""closedwon"",""closedate"":""{{run_at_iso}}""}}",Close deal → closedwon (set closedate) [path=won]
{{simulationId}},2,450,300,update_deal,deal,deal_{{simulationId}}_2,,,,"{""properties"":{""dealstage"":""closedlost"",""closedate"":""{{run_at_iso}}""}}",Close deal → closedlost (set closedate) [path=lost]
{{simulationId}},4,450,300,update_deal,deal,deal_{{simulationId}}_4,,,,"{""properties"":{""dealstage"":""contractsent""}}",Deal stage → contractsent
{{simulationId}},6,450,300,update_deal,deal,deal_{{simulationId}}_6,,,,"{""properties"":{""dealstage"":""decisionmakerboughtin""}}",Deal stage → decisionmakerboughtin
{{simulationId}},8,450,300,update_deal,deal,deal_{{simulationId}}_8,,,,"{""properties"":{""dealstage"":""presentationscheduled""}}",Deal stage → presentationscheduled
{{simulationId}},4,455,500,create_note,note,note_{{simulationId}}_4_3,note_to_contact,{{assocId.note_contact}},contact_{{simulationId}}_4,"{""properties"":{""hs_note_body"":""Negotiation discussion covering pricing, risks, and next steps to send the contract."",""hs_timestamp"":""{{run_at_iso}}""}}","Negotiation discussion covering pricing, risks, and next steps to send the contract."
{{simulationId}},8,455,500,create_note,note,note_{{simulationId}}_8_2,note_to_contact,{{assocId.note_contact}},contact_{{simulationId}}_8,"{""properties"":{""hs_note_body"":""Presentation recap noting strong interest, open questions, and a request for a proposal."",""hs_timestamp"":""{{run_at_iso}}""}}","Presentation recap noting strong interest, open questions, and a request for a proposal."
{{simulationId}},10,455,200,create_company,company,company_{{simulationId}}_10,,,,"{""properties"":{""name"":"""",""domain"":"""",""phone"":"""",""city"":"""",""state"":"""",""zip"":"""",""country"":"""",""website"":"""",""industry"":"""",""lifecyclestage"":""""}}",Create company (Company Create Payload)
{{simulationId}},10,455,100,create_contact,contact,contact_{{simulationId}}_10,,,,"{""properties"":{""email"":"""",""firstname"":"""",""lastname"":"""",""phone"":"""",""company"":"""",""website"":"""",""lifecyclestage"":"""",""jobtitle"":""""}}",Create contact (Contact Create Payload)
{{simulationId}},7,460,400,update_ticket,ticket,ticket_{{simulationId}}_7,,,,"{""properties"":{""hs_pipeline_stage"":""2""}}",Ticket stage → in progress
{{simulationId}},9,460,300,update_deal,deal,deal_{{simulationId}}_9,,,,"{""properties"":{""dealstage"":""qualifiedtobuy""}}",Deal stage → qualifiedtobuy
{{simulationId}},9,465,500,create_note,note,note_{{simulationId}}_9_1,note_to_contact,{{assocId.note_contact}},contact_{{simulationId}}_9,"{""properties"":{""hs_note_body"":""Qualification call summarizing current process, key pain points, and success criteria."",""hs_timestamp"":""{{run_at_iso}}""}}","Qualification call summarizing current process, key pain points, and success criteria."
{{simulationId}},10,475,300,create_deal,deal,deal_{{simulationId}}_10,deal_to_contact|deal_to_company,{{assocId.deal_contact}}|{{assocId.deal_company}},contact_{{simulationId}}_10|company_{{simulationId}}_10,"{""properties"":{""dealname"":"""",""pipeline"":"""",""dealstage"":""appointmentscheduled"",""amount"":"""",""closedate"":"""",""dealtype"":""""}}","Create deal (Deal Create Payload) + associate to contact,company"
{{simulationId}},8,495,400,create_ticket,ticket,ticket_{{simulationId}}_8,ticket_to_contact|ticket_to_company,{{assocId.ticket_contact}}|{{assocId.ticket_company}},contact_{{simulationId}}_8|company_{{simulationId}}_8,"{""properties"":{""subject"":"""",""hs_pipeline"":"""",""hs_pipeline_stage"":""1"",""hs_ticket_priority"":"""",""content"":""""}}","Create ticket (Ticket Create Payload) + associate to contact,company"
{{simulationId}},1,500,400,update_ticket,ticket,ticket_{{simulationId}}_1,,,,"{""properties"":{""hs_pipeline_stage"":""4""}}",Close ticket [path=won]
{{simulationId}},3,500,300,update_deal,deal,deal_{{simulationId}}_3,,,,"{""properties"":{""dealstage"":""closedwon"",""closedate"":""{{run_at_iso}}""}}",Close deal → closedwon (set closedate) [path=won]
{{simulationId}},3,500,300,update_deal,deal,deal_{{simulationId}}_3,,,,"{""properties"":{""dealstage"":""closedlost"",""closedate"":""{{run_at_iso}}""}}",Close deal → closedlost (set closedate) [path=lost]
{{simulationId}},5,500,300,update_deal,deal,deal_{{simulationId}}_5,,,,"{""properties"":{""dealstage"":""contractsent""}}",Deal stage → contractsent
{{simulationId}},7,500,300,update_deal,deal,deal_{{simulationId}}_7,,,,"{""properties"":{""dealstage"":""decisionmakerboughtin""}}",Deal stage → decisionmakerboughtin
{{simulationId}},9,500,300,update_deal,deal,deal_{{simulationId}}_9,,,,"{""properties"":{""dealstage"":""presentationscheduled""}}",Deal stage → presentationscheduled
{{simulationId}},1,505,500,create_note,note,note_{{simulationId}}_1_4,note_to_contact,{{assocId.note_contact}},contact_{{simulationId}}_1,"{""properties"":{""hs_note_body"":""Post\u2011sale follow\u2011up after a won deal, confirming implementation status and next steps. [path=won]"",""hs_timestamp"":""{{run_at_iso}}""}}","Post‑sale follow‑up after a won deal, confirming implementation status and next steps. [path=won]"
